age,monthly_salary,credit_score,existing_emi,requested_amount,tenure_months,missed_payments,proposed_emi,foir,approved
28,235695,840,4458,1502600,36,0,41738.88888888889,19.6002837942633,1
26,150327,770,6591,1903834,60,0,31730.566666666666,25.492138249726704,1
30,191410,828,16346,1338585,60,0,22309.75,20.1952614805914,1
28,203326,770,11826,923858,48,0,19247.041666666668,15.282374938112522,1
53,242932,759,18693,623159,24,0,25964.958333333332,18.382904818357947,1
42,71344,836,14138,921755,60,0,15362.583333333334,41.349774800029905,1
50,192822,807,22652,244816,84,0,2914.4761904761904,13.259107462051109,1
58,245828,788,17294,204138,24,0,8505.75,10.495041248352505,1
34,127957,754,20724,1339752,36,0,37215.333333333336,45.28031552266256,1
38,165423,814,20393,1586665,48,0,33055.520833333336,32.31021129669595,1
55,118053,762,23012,990449,36,0,27512.472222222223,42.798126453560876,1
39,206968,834,2169,996883,36,0,27691.194444444445,14.427445037128662,1
32,246833,839,18556,1966892,24,0,81953.83333333333,40.71977139739554,1
38,137454,834,22052,556007,36,0,15444.638888888889,27.279409030576694,1
47,150600,802,6313,996710,60,0,16611.833333333332,15.222332890659581,1
45,182732,831,8315,421552,36,0,11709.777777777777,10.958550104950298,1
40,219007,794,8036,243764,48,0,5078.416666666667,5.988126711322774,1
42,97641,781,23173,323030,48,0,6729.791666666667,30.625241104317517,1
48,89711,785,785,1118638,84,0,13317.119047619048,15.719498219414618,1
50,130342,830,6139,1868531,48,0,38927.729166666664,34.57575391406198,1
49,166896,848,6344,516462,36,0,14346.166666666666,12.397041670661169,1
53,203254,809,18800,1089855,48,0,22705.3125,20.42041608037234,1
39,147833,760,20538,1614718,24,0,67279.91666666667,59.40345975977398,0
25,116276,812,14973,260128,48,0,5419.333333333333,17.53786966642586,1
49,79541,770,5619,419128,60,0,6985.466666666666,15.846502642243204,1
31,154457,801,1936,1008301,24,0,42012.541666666664,28.453577155238456,1
33,104813,804,3807,1482116,84,0,17644.238095238095,20.46619989432427,1
48,228270,775,7151,205039,60,0,3417.3166666666666,4.629744016588543,1
25,199892,817,9493,352353,36,0,9787.583333333334,9.645500236794536,1
32,84070,783,12355,312935,36,0,8692.638888888889,25.03584975483394,1
48,202194,801,3236,1783306,36,0,49536.27777777778,26.09982382156631,1
35,140559,831,15848,1538306,60,0,25638.433333333334,29.51531622545218,1
41,101786,848,2352,253053,60,0,4217.55,6.454276619574402,1
32,197809,842,1932,1430137,60,0,23835.616666666665,13.026513791923858,1
59,96062,801,10913,1987040,24,0,82793.33333333333,97.54776429111753,0
59,245309,778,8556,286346,24,0,11931.083333333334,8.351541661061491,1
57,111571,787,21300,529231,36,0,14700.861111111111,32.26722097239526,1
29,85510,791,5498,605841,48,0,12621.6875,21.19013858028301,1
52,79426,770,10582,758685,36,0,21074.583333333332,39.856700996315226,1
31,97265,791,17330,1569391,84,0,18683.22619047619,37.025884121190764,1
33,208922,762,13865,316214,24,0,13175.583333333334,12.942908517692409,1
32,126150,813,9569,685001,60,0,11416.683333333332,16.635500066058924,1
36,147312,766,17823,1053329,24,0,43888.708333333336,41.89184067376272,1
58,149613,758,24114,1930085,60,0,32168.083333333332,37.618444475636025,1
57,134910,790,4857,1187410,84,0,14135.833333333334,14.07815086600944,1
47,112375,750,340,1647075,84,0,19608.035714285714,17.751310980454473,1
48,181826,751,11181,600826,24,0,25034.416666666668,19.917622708890185,1
59,95435,809,16766,636542,60,0,10609.033333333333,28.68447983793507,1
46,156443,797,8491,1525644,84,0,18162.428571428572,17.03714999803671,1
51,248204,778,138,837431,36,0,23261.972222222223,9.427717612215043,1
59,194055,846,358,572397,36,0,15899.916666666666,8.377994211263129,1
25,211734,759,21315,562441,60,0,9374.016666666666,14.494137298056367,1
59,83510,807,9714,1083520,24,0,45146.666666666664,65.69352971699996,0
38,232070,809,19840,734391,84,0,8742.75,12.316434696427802,1
27,247918,770,1627,1724314,24,0,71846.41666666667,29.63617674661246,1
25,154071,777,15996,626674,36,0,17407.61111111111,21.68066093626387,1
29,66640,824,23010,1208109,84,0,14382.25,56.110819327731086,0
50,104547,783,5004,282409,24,0,11767.041666666666,16.04162880490752,1
38,114620,757,13283,1271824,48,0,26496.333333333332,34.7054033618333,1
51,206389,808,6652,1730952,60,0,28849.2,17.201110524301196,1
33,175608,835,22800,898876,60,0,14981.266666666666,21.514547552882934,1
39,67564,821,19554,1928106,48,0,40168.875,88.39452223077379,0
39,218417,798,20219,1256600,36,0,34905.555555555555,25.238216601984075,1
50,173824,828,24401,675430,84,0,8040.833333333333,18.663609934953364,1
37,139273,766,2151,1483440,60,0,24724.0,19.29663323113597,1
56,134859,809,9429,1423451,48,0,29655.229166666668,28.981550483591505,1
56,170017,836,14072,1136800,48,0,23683.333333333332,22.206798927950338,1
28,183618,837,11927,1602549,36,0,44515.25,30.738952608132102,1
54,243465,794,6905,1660049,36,0,46112.47222222222,21.77621926035456,1
47,185341,832,19218,1392503,24,0,58020.958333333336,41.67397301910174,1
39,89430,818,12452,1333754,60,0,22229.233333333334,38.780312348578036,1
53,87788,781,16212,1247380,24,0,51974.166666666664,77.67139776127337,0
37,239615,793,18951,1087553,48,0,22657.354166666668,17.364670061000634,1
56,204991,814,1307,1765116,84,0,21013.285714285714,10.888422279166262,1
31,129346,836,14852,1006457,84,0,11981.630952380952,20.745621010607945,1
46,156122,757,2660,1646250,36,0,45729.166666666664,30.994457326108215,1
52,99974,826,10403,1312186,84,0,15621.261904761905,26.03102997255477,1
26,167309,821,20114,1843707,84,0,21948.89285714286,25.14084290572704,1
30,76371,836,10238,831525,84,0,9899.107142857143,26.3674786802021,1
52,105084,792,6207,1725753,48,0,35953.1875,40.12046315328689,1
52,220701,750,19546,1953767,84,0,23259.130952380954,19.395077934572548,1
44,242256,800,1140,898787,84,0,10699.845238095239,4.887327966322914,1
54,121916,773,24842,1735601,84,0,20661.916666666668,37.32399083521988,1
35,133972,848,1708,1903163,24,0,79298.45833333333,60.46521536838543,0
52,72984,773,3630,1680298,48,0,35006.208333333336,52.93791561620812,1
49,93039,766,19595,1254244,36,0,34840.11111111111,58.507841992187274,0
57,145431,754,10485,1471118,24,0,61296.583333333336,49.35782834012923,1
25,143691,769,12021,378267,60,0,6304.45,12.753373558538811,1
51,118606,770,22922,355489,48,0,7406.020833333333,25.57039343147339,1
37,201688,807,16859,544126,48,0,11335.958333333334,13.979492252059286,1
27,162665,780,7684,1878997,60,0,31316.616666666665,23.976034590518346,1
30,165373,849,1207,508362,60,0,8472.7,5.85325294939319,1
32,241144,760,13331,1113081,60,0,18551.35,13.221291012838801,1
51,84574,801,1960,1982988,36,0,55083.0,67.4474424764112,0
33,194502,764,557,1337411,84,0,15921.559523809523,8.472179989825051,1
57,203748,832,15883,1870357,48,0,38965.770833333336,26.919906371269086,1
48,201888,756,13893,1015359,84,0,12087.607142857143,12.86882189276091,1
39,92733,777,882,1945030,84,0,23155.119047619046,25.920782297153167,1
56,62050,800,4761,301948,60,0,5032.466666666666,15.783185603008326,1
56,169996,807,5867,1433770,36,0,39826.944444444445,26.879423306692185,1
48,93933,754,23347,1802357,24,0,75098.20833333333,104.80364550619412,0
36,84951,754,12869,1715331,36,0,47648.083333333336,71.23763502882053,0
26,92413,843,7166,493851,84,0,5879.178571428572,14.116172585489675,1
27,225873,845,12982,1972750,36,0,54798.61111111111,30.00828390782037,1
41,246691,757,7929,1386944,60,0,23115.733333333334,12.584461262605176,1
26,223985,813,5347,1405046,24,0,58543.583333333336,28.524491967468062,1
26,172573,759,7269,497986,60,0,8299.766666666666,9.021554163552043,1
52,231672,787,24509,213261,24,0,8885.875,14.414722107116958,1
47,248847,845,13527,1325285,84,0,15777.202380952382,11.775991826685626,1
56,226472,841,2454,1868849,24,0,77868.70833333333,35.46694882075194,1
57,195566,830,20878,568760,24,0,23698.333333333332,22.79349852905583,1
25,182744,844,18330,1053605,24,0,43900.208333333336,34.053215609450014,1
43,149431,757,12991,1542501,36,0,42847.25,37.36724642142527,1
26,103001,774,2808,475796,36,0,13216.555555555555,15.557669882385175,1
50,127364,822,6642,1515823,84,0,18045.511904761905,19.383430093874175,1
56,184988,815,3825,1536220,24,0,64009.166666666664,36.66949567899899,1
30,105028,828,3536,970692,48,0,20222.75,22.62134859275622,1
56,228645,799,22452,1873200,84,0,22300.0,19.572700037175533,1
28,191878,816,15309,628745,24,0,26197.708333333332,21.631822477477005,1
35,184343,798,3802,837787,24,0,34907.791666666664,20.99878577796101,1
41,247710,785,21083,873812,36,0,24272.555555555555,18.30994128438721,1
48,188301,817,18354,1035825,84,0,12331.25,16.295850792082888,1
29,186295,827,22190,1672966,24,0,69706.91666666667,49.32870805264053,1
58,220829,790,6142,1706242,24,0,71093.41666666667,34.97521460798476,1
30,94636,838,19203,890796,84,0,10604.714285714286,31.497225459354038,1
46,239352,811,9094,1558126,48,0,32460.958333333332,17.361441865258417,1
35,84262,759,364,525203,84,0,6252.416666666667,7.8521951373889385,1
40,140435,770,20642,1919890,84,0,22855.833333333332,30.973641423671683,1
57,245914,785,19503,544866,48,0,11351.375,12.546815146758622,1
33,188583,761,15688,975107,84,0,11608.416666666666,14.474484267758317,1
30,248051,840,1863,736644,24,0,30693.5,13.124921891062725,1
40,229269,751,16499,852416,84,0,10147.809523809523,11.622508722858093,1
53,101844,762,7084,1216003,48,0,25333.395833333332,31.830442474110733,1
27,124754,802,8016,1250763,60,0,20846.05,23.13517001458871,1
44,225229,781,2384,1734263,84,0,20645.988095238095,10.22514334088332,1
43,137129,844,15072,876585,36,0,24349.583333333332,28.74780924044756,1
50,100042,765,3935,1907542,24,0,79480.91666666667,83.38089669005684,0
27,121665,781,13127,1674620,24,0,69775.83333333333,68.14024849655475,0
43,176953,781,14482,1374846,36,0,38190.166666666664,29.76619026897914,1
44,218448,847,7742,531607,36,0,14766.861111111111,10.30399047421405,1
56,246626,760,16165,1189336,84,0,14158.761904761905,12.29544407514289,1
31,205271,759,21826,967286,36,0,26869.055555555555,23.722325879230656,1
57,178533,764,2490,1229933,60,0,20498.883333333335,12.876545699301156,1
42,242020,766,23364,1120095,48,0,23335.3125,19.295641889100075,1
25,133781,789,13324,1240950,36,0,34470.833333333336,35.72617436955422,1
35,126262,767,24045,965791,36,0,26827.527777777777,40.29124184455955,1
52,106600,804,18108,1166020,60,0,19433.666666666668,35.21732332707943,1
49,136898,822,24566,553827,24,0,23076.125,34.80118409326652,1
47,209369,774,19151,1834925,24,0,76455.20833333333,45.66397524625581,1
55,90448,808,1137,1329833,84,0,15831.345238095239,18.760332166654027,1
54,86172,827,20501,261753,60,0,4362.55,28.853397855451885,1
59,233946,838,3420,1071206,48,0,22316.791666666668,11.001167648374697,1
31,67657,771,5845,1652879,48,0,34434.979166666664,59.53556788900877,0
40,216497,779,21162,1672608,60,0,27876.8,22.65102980641764,1
50,217757,833,3906,1271984,48,0,26499.666666666668,13.963117909718939,1
26,172855,834,20021,324116,24,0,13504.833333333334,19.395350631068432,1
25,215650,793,19337,1222780,48,0,25474.583333333332,20.779774325682045,1
36,219903,781,22313,855496,48,0,17822.833333333332,18.251607905910028,1
29,67906,800,12413,217413,60,0,3623.55,23.615807145171267,1
56,121413,795,276,837938,60,0,13965.633333333333,11.72990810978506,1
33,114028,770,18383,1308076,48,0,27251.583333333332,40.02050665918312,1
59,67287,848,17611,1070946,36,0,29748.5,70.38432386642293,0
43,93660,781,6337,1304934,60,0,21748.9,29.987080931027123,1
40,120504,843,11944,266197,84,0,3169.0119047619046,12.5415022777351,1
27,162979,788,20119,693992,84,0,8261.809523809523,17.41378307868469,1
44,94701,761,15906,1996725,24,0,83196.875,104.6481821733667,0
48,143300,796,17079,423492,48,0,8822.75,18.075191905094208,1
57,208746,767,20536,985833,36,0,27384.25,22.95624826343978,1
48,143560,770,24285,626070,24,0,26086.25,35.087245750905545,1
35,214946,762,23854,276240,48,0,5755.0,13.775087696444688,1
32,103642,770,12306,435595,60,0,7259.916666666667,18.87836655667265,1
44,125160,757,23921,1771286,84,0,21086.738095238095,35.9601614695095,1
59,77602,795,10503,1993999,36,0,55388.86111111111,84.91000375133517,0
49,163320,756,19225,1527042,84,0,18179.071428571428,22.902321472306777,1
59,148801,772,4208,1255544,60,0,20925.733333333334,16.890836307103672,1
49,85931,845,11590,489662,48,0,10201.291666666666,25.359057460830975,1
53,154377,824,10886,1038357,60,0,17305.95,18.261755313291488,1
42,89192,835,12866,390920,60,0,6515.333333333333,21.729901037462252,1
42,106542,771,1088,1098332,84,0,13075.380952380952,13.29370666251896,1
26,187015,838,3363,1079854,36,0,29995.944444444445,17.83757690262516,1
59,102520,771,24,1512420,60,0,25207.0,24.610807647288336,1
40,124772,841,9764,432076,84,0,5143.761904761905,11.948002680699119,1
57,249834,778,22528,1271775,36,0,35327.083333333336,23.157409853476043,1
28,110106,762,22052,637805,48,0,13287.604166666666,32.09598402145811,1
57,141121,831,20620,363187,48,0,7566.395833333333,19.97321152297201,1
38,85559,751,9959,655150,24,0,27297.916666666668,43.54529233238662,1
45,165595,778,12935,709551,84,0,8447.035714285714,12.91224717792549,1
44,93742,834,8068,1762518,36,0,48958.833333333336,60.83381337429683,0
32,129669,828,18619,1958252,60,0,32637.533333333333,39.52874883999517,1
31,212826,801,7295,1254096,48,0,26127.0,15.70390835706164,1
27,195044,776,8392,1882678,36,0,52296.61111111111,31.115343774282266,1
41,130831,799,11390,367527,84,0,4375.321428571428,12.050142113544519,1
57,172217,844,8448,970644,24,0,40443.5,28.38947374533292,1
36,101873,828,20131,847652,48,0,17659.416666666668,37.09561578305014,1
46,166532,772,10433,1787819,36,0,49661.63888888889,36.085940773478306,1
46,186267,837,15038,1423697,36,0,39547.13888888889,29.304782322627677,1
54,200975,793,19559,1917853,36,0,53273.694444444445,36.239678788130085,1
32,194092,826,11528,1187797,84,0,14140.440476190477,13.224883290496505,1
51,101755,771,21281,1720373,84,0,20480.630952380954,41.04135516916216,1
51,145956,792,21421,450144,84,0,5358.857142857143,18.347897409395397,1
58,146988,786,15743,264925,60,0,4415.416666666667,13.71432815377219,1
45,105648,810,23811,569360,36,0,15815.555555555555,37.5080981708651,1
54,185991,846,8605,794557,48,0,16553.270833333332,13.526606574153229,1
57,200588,805,2014,1148458,84,0,13672.119047619048,7.820068522353804,1
52,175005,752,1381,1190121,84,0,14168.107142857143,8.884950225911913,1
57,62396,812,1098,1552178,36,0,43116.055555555555,70.86040059547976,0
29,144082,768,19810,1599757,84,0,19044.72619047619,26.967092482389326,1
43,210201,772,20039,1925049,60,0,32084.15,24.796813526101207,1
28,188322,778,24322,1348553,60,0,22475.883333333335,24.849929022277443,1
59,192663,779,9101,1754414,84,0,20885.880952380954,15.564421270498723,1
41,71303,788,187,1767739,36,0,49103.86111111111,69.1287338696985,0
52,221633,774,11948,683442,36,0,18984.5,13.956631007115366,1
54,131719,757,10207,1030371,36,0,28621.416666666668,29.47822004924625,1
53,159616,807,21793,1277921,24,0,53246.708333333336,47.012648063686186,1
30,184165,765,2092,979976,84,0,11666.380952380952,7.470681699769746,1
59,146231,821,18514,1620827,36,0,45022.97222222222,43.44972832178007,1
48,67314,750,5242,1209869,60,0,20164.483333333334,37.743238157490765,1
53,79623,754,8549,693814,48,0,14454.458333333334,28.890469253021532,1
55,165228,752,22031,531310,48,0,11068.958333333334,20.03289898403015,1
59,224202,814,5185,1951797,36,0,54216.583333333336,26.494671471857224,1
57,242828,753,15271,297406,48,0,6195.958333333333,8.840396631909554,1
45,157624,848,5776,1560018,48,0,32500.375,24.283342003755774,1
56,217364,845,12449,1164725,24,0,48530.208333333336,28.053959410635308,1
47,171785,813,24297,1555662,60,0,25927.7,29.236953168204437,1
57,146206,847,23931,1776317,60,0,29605.283333333333,36.61702210123616,1
27,129274,838,7823,1875675,24,0,78153.125,66.50689620496001,0
42,193541,759,15717,779223,24,0,32467.625,24.89633979363546,1
49,113947,770,7355,584583,48,0,12178.8125,17.142893187183514,1
55,213606,795,6465,1947306,84,0,23182.214285714286,13.879392098402802,1
27,108874,840,12737,1221436,48,0,25446.583333333332,35.07135159297291,1
48,109708,776,17881,994760,24,0,41448.333333333336,54.079313571784496,1
56,134553,815,13324,1264110,60,0,21068.5,25.560559779417773,1
46,128344,790,10350,1202429,48,0,25050.604166666668,27.58259378441273,1
47,109138,762,2555,1809184,84,0,21537.904761904763,22.07563338333556,1
26,245374,758,21793,1822034,48,0,37959.041666666664,24.35141525453661,1
51,107638,785,2951,1349122,36,0,37475.61111111111,37.55793596230988,1
26,138249,835,17622,804489,48,0,16760.1875,24.86975493493624,1
50,165865,839,4727,1246439,24,0,51934.958333333336,34.16149177543987,1
41,62719,807,20349,958761,60,0,15979.35,57.92239991071286,0
57,213962,803,5686,1519360,60,0,25322.666666666668,14.492604605802276,1
33,227581,761,3701,431324,24,0,17971.833333333332,9.523129493821248,1
53,102534,830,2780,684273,36,0,19007.583333333332,21.249130369763524,1
50,152241,827,23782,1933985,24,0,80582.70833333333,68.55230084755968,0
59,209859,763,17972,1647410,48,0,34321.041666666664,24.918179190154657,1
49,186209,783,2368,1482188,24,0,61757.833333333336,34.437558513999505,1
48,239917,802,15592,1959989,24,0,81666.20833333333,40.53827295828697,1
37,249004,769,22173,1119424,36,0,31095.11111111111,21.39247205310401,1
31,152124,824,436,506081,48,0,10543.354166666666,7.217371464507025,1
44,151659,765,2828,925084,84,0,11012.904761904761,9.126332602684155,1
25,224134,844,1556,1391855,84,0,16569.70238095238,8.086993664929185,1
32,135713,819,23954,1445422,60,0,24090.366666666665,35.40144766283751,1
40,135418,805,13364,888332,24,0,37013.833333333336,37.20172601377463,1
38,188232,832,23864,1652591,60,0,27543.183333333334,27.31054408035474,1
36,225904,807,15061,926448,36,0,25734.666666666668,18.058850957338812,1
47,223038,753,10576,622132,84,0,7406.333333333333,8.06245273600612,1
39,204059,753,16566,270463,24,0,11269.291666666666,13.640805682016802,1
52,228383,769,7190,293500,36,0,8152.777777777777,6.718003431856914,1
58,91575,759,23071,1456348,36,0,40454.11111111111,69.36949070282404,0
26,123852,773,5565,761446,24,0,31726.916666666668,30.11006416260268,1
56,192079,848,23625,1333183,36,0,37032.86111111111,31.579642288387127,1
47,136242,775,15369,969305,24,0,40387.708333333336,40.924757661611935,1
46,238589,786,24035,533840,24,0,22243.333333333332,19.39667517502204,1
49,89257,834,21959,1047942,48,0,21832.125,49.06183828719316,1
46,233279,803,1589,320076,60,0,5334.6,2.967948250806974,1
46,204353,770,159,1307268,36,0,36313.0,17.847548115271124,1
30,121246,823,12145,855129,36,0,23753.583333333332,29.608055798404344,1
39,61435,787,15373,917104,48,0,19106.333333333332,56.12327392094625,0
57,151357,795,6555,1002242,48,0,20880.041666666668,18.126047468347462,1
32,217732,753,16237,1122630,48,0,23388.125,18.19903597082652,1
29,196156,809,9203,361081,84,0,4298.583333333333,6.883084551751327,1
28,204579,806,8244,1360294,84,0,16193.97619047619,11.945495965116748,1
30,143807,794,14743,1601652,84,0,19067.285714285714,23.51087618425091,1
56,236611,769,13333,724480,24,0,30186.666666666668,18.392917770799613,1
54,175953,766,13341,447536,36,0,12431.555555555555,14.647408998741456,1
59,198563,820,23230,236413,60,0,3940.2166666666667,13.683423732853889,1
40,241264,753,18691,1392464,24,0,58019.333333333336,31.795184251829262,1
37,183797,842,1228,1811946,36,0,50331.833333333336,28.05259788425999,1
54,123888,763,23610,1051480,36,0,29207.777777777777,42.63348974701164,1
43,133609,752,5590,1895994,48,0,39499.875,33.74763301873377,1
41,69077,837,23303,775228,48,0,16150.583333333334,57.115368839604116,0
43,80953,829,5585,1936066,24,0,80669.41666666667,106.54875874478607,0
52,174682,807,9227,764430,48,0,15925.625,14.399093781843577,1
50,127889,804,6046,1771356,36,0,49204.333333333336,43.20178696630151,1
50,214893,753,12237,236468,48,0,4926.416666666667,7.986959401500593,1
47,228639,773,15649,1148202,84,0,13669.07142857143,12.822865490389404,1
33,175374,783,4945,866015,48,0,18041.979166666668,13.107404271252676,1
36,84860,779,7927,1427545,36,0,39654.02777777778,56.07003037682981,0
25,212267,831,12641,1671867,24,0,69661.125,38.77292513673816,1
25,137475,768,15998,1126863,60,0,18781.05,25.298454264411713,1
58,147266,780,13386,1115480,48,0,23239.166666666668,24.87007636974364,1
56,212499,809,7016,1743989,36,0,48444.13888888889,26.099011707767517,1
49,160732,809,14027,1484763,60,0,24746.05,24.122794465321157,1
25,87083,768,15920,242056,60,0,4034.266666666667,22.91407814001202,1
40,117372,798,24142,251831,84,0,2997.9880952380954,23.123051575535985,1
29,183786,812,13752,1045623,60,0,17427.05,16.964866747195106,1
46,235136,832,21470,973952,36,0,27054.222222222223,20.636662281497607,1
53,67813,771,23545,1108380,36,0,30788.333333333332,80.12229710134241,0
27,91598,773,18268,626488,48,0,13051.833333333334,34.19270435307904,1
36,153106,825,18193,832405,48,0,17341.770833333332,23.209260795353106,1
50,87082,779,3167,476815,48,0,9933.645833333334,15.04403416703031,1
40,89241,807,11989,1537768,60,0,25629.466666666667,42.153793286344474,1
46,235641,780,22736,1193778,60,0,19896.3,18.092055287492414,1
53,71745,849,14087,768242,84,0,9145.738095238095,32.38237939262401,1
38,86029,813,22440,1714101,48,0,35710.4375,67.59399446698207,0
52,204097,768,2437,433192,24,0,18049.666666666668,10.03771082704139,1
29,183395,797,22852,1606150,84,0,19120.833333333332,22.886574515844668,1
54,205360,794,15275,725005,24,0,30208.541666666668,22.148199097519804,1
29,149186,849,22335,1522396,60,0,25373.266666666666,31.979050759901504,1
36,197612,843,5276,1646226,84,0,19597.928571428572,12.587256123832852,1
40,157768,804,8859,1429458,84,0,17017.35714285714,16.401524480792773,1
50,101846,804,7818,1367272,36,0,37979.77777777778,44.96767450638983,1
50,135932,846,4728,1212140,60,0,20202.333333333332,18.340297599780282,1
45,208554,767,19008,204994,60,0,3416.5666666666666,10.752403054684477,1
57,83411,812,5738,990666,84,0,11793.642857142857,21.0183822962713,1
54,242047,841,20616,269300,60,0,4488.333333333333,10.371677126067802,1
47,138797,796,5793,506093,84,0,6024.916666666667,8.51453321517516,1
34,112307,824,4523,761693,36,0,21158.13888888889,22.86690846419982,1
29,194165,806,5571,1545592,84,0,18399.904761904763,12.345636320606063,1
58,82042,794,16209,1552935,60,0,25882.25,51.30451476073231,1
55,112930,782,15246,1796049,60,0,29934.15,40.00721686000177,1
34,235485,766,10380,1947378,84,0,23183.071428571428,14.252742819530512,1
43,157883,819,2224,716479,84,0,8529.511904761905,6.811063828760478,1
56,93756,753,8389,1693551,84,0,20161.321428571428,30.451727279930275,1
25,113268,769,15927,539679,48,0,11243.3125,23.98763331214465,1
29,230286,796,22475,1906517,60,0,31775.283333333333,23.557786115236414,1
28,219674,840,11684,1300293,60,0,21671.55,15.184113732166757,1
40,244403,764,10640,1251339,48,0,26069.5625,15.020094884269014,1
48,108901,819,8662,555054,84,0,6607.785714285715,14.021713036873596,1
40,159986,796,6361,1304056,36,0,36223.77777777778,26.61781516993848,1
26,223268,827,1948,1942695,84,0,23127.321428571428,11.231041362206598,1
52,188386,824,12091,1455715,84,0,17329.940476190477,15.617370970343062,1
56,65626,758,11992,1366670,48,0,28472.291666666668,61.658933451172814,0
51,198496,839,23478,880667,60,0,14677.783333333333,19.222444448922566,1
44,72857,765,6318,951731,84,0,11330.130952380952,24.222972332625492,1
48,211054,818,20180,1783928,60,0,29732.133333333335,23.64898714704925,1
36,193052,810,12180,1325424,24,0,55226.0,34.9159811864161,1
59,239362,759,234,1810412,60,0,30173.533333333333,12.703575894809257,1
57,86431,799,15372,1416593,36,0,39349.805555555555,63.31270673202387,0
57,144976,752,19991,992908,36,0,27580.777777777777,32.81355381427118,1
36,142711,826,24427,644972,84,0,7678.238095238095,22.496680771095498,1
27,86385,843,522,1775246,60,0,29587.433333333334,34.85493237637707,1
25,229230,819,22288,642899,84,0,7653.559523809524,13.061797986218874,1
57,214091,830,12718,681215,48,0,14191.979166666666,12.569411683193907,1
34,78639,800,21272,900636,36,0,25017.666666666668,58.86349860332236,0
53,145530,768,9821,1733673,84,0,20638.964285714286,20.93036781812292,1
37,81563,791,5832,1752092,48,0,36501.916666666664,51.90333443677484,1
36,230413,784,12820,620162,84,0,7382.880952380952,8.768116795658646,1
55,175672,795,16211,1852562,60,0,30876.033333333333,26.803949026215523,1
26,196848,775,7122,970050,60,0,16167.5,11.831209867511989,1
59,227516,818,5842,1191437,60,0,19857.283333333333,11.295593862995716,1
47,199783,842,1316,245095,60,0,4084.9166666666665,2.703391513125074,1
41,142970,813,13200,1721722,24,0,71738.41666666667,59.40995780000466,0
50,145553,786,17508,592118,48,0,12335.791666666666,20.50372830973368,1
32,221779,833,22005,1794874,48,0,37393.208333333336,26.78261166897377,1
